ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
1304114,1,0,1,RD Gaikwad,TA Boult,DP Conway,NA,2,0,2,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,0,2,RD Gaikwad,TA Boult,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,0,3,RD Gaikwad,TA Boult,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,0,4,RD Gaikwad,TA Boult,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,0,5,RD Gaikwad,TA Boult,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,0,6,RD Gaikwad,TA Boult,DP Conway,NA,0,0,0,0,1,RD Gaikwad,caught,SV Samson,Chennai Super Kings
1304114,1,1,1,DP Conway,M Prasidh Krishna,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,1,2,DP Conway,M Prasidh Krishna,MM Ali,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,1,3,MM Ali,M Prasidh Krishna,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,1,4,MM Ali,M Prasidh Krishna,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,1,5,MM Ali,M Prasidh Krishna,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,1,6,MM Ali,M Prasidh Krishna,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,2,1,DP Conway,TA Boult,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,2,2,DP Conway,TA Boult,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,2,3,DP Conway,TA Boult,MM Ali,NA,6,0,6,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,2,4,DP Conway,TA Boult,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,2,5,DP Conway,TA Boult,MM Ali,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,2,6,DP Conway,TA Boult,MM Ali,NA,2,0,2,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,3,1,MM Ali,M Prasidh Krishna,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,3,2,MM Ali,M Prasidh Krishna,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,3,3,MM Ali,M Prasidh Krishna,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,3,4,MM Ali,M Prasidh Krishna,DP Conway,NA,6,0,6,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,3,5,MM Ali,M Prasidh Krishna,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,3,6,MM Ali,M Prasidh Krishna,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,4,1,DP Conway,R Ashwin,MM Ali,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,4,2,MM Ali,R Ashwin,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,4,3,MM Ali,R Ashwin,DP Conway,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,4,4,MM Ali,R Ashwin,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,4,5,MM Ali,R Ashwin,DP Conway,NA,6,0,6,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,4,6,MM Ali,R Ashwin,DP Conway,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,5,1,MM Ali,TA Boult,DP Conway,NA,6,0,6,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,5,2,MM Ali,TA Boult,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,5,3,MM Ali,TA Boult,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,5,4,MM Ali,TA Boult,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,5,5,MM Ali,TA Boult,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,5,6,MM Ali,TA Boult,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,6,1,DP Conway,YS Chahal,MM Ali,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,6,2,MM Ali,YS Chahal,DP Conway,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,6,3,DP Conway,YS Chahal,MM Ali,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,6,4,MM Ali,YS Chahal,DP Conway,NA,4,0,4,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,6,5,MM Ali,YS Chahal,DP Conway,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,6,6,DP Conway,YS Chahal,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,7,1,MM Ali,R Ashwin,DP Conway,wides,0,1,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,7,2,MM Ali,R Ashwin,DP Conway,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,7,3,DP Conway,R Ashwin,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,7,4,DP Conway,R Ashwin,MM Ali,NA,0,0,0,0,1,DP Conway,lbw,NA,Chennai Super Kings
1304114,1,7,5,N Jagadeesan,R Ashwin,MM Ali,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,7,6,MM Ali,R Ashwin,N Jagadeesan,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,7,7,MM Ali,R Ashwin,N Jagadeesan,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,8,1,MM Ali,OC McCoy,N Jagadeesan,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,8,2,N Jagadeesan,OC McCoy,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,8,3,N Jagadeesan,OC McCoy,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,8,4,N Jagadeesan,OC McCoy,MM Ali,NA,0,0,0,0,1,N Jagadeesan,caught,R Parag,Chennai Super Kings
1304114,1,8,5,AT Rayudu,OC McCoy,MM Ali,NA,0,0,0,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,8,6,AT Rayudu,OC McCoy,MM Ali,NA,1,0,1,0,0,NA,NA,NA,Chennai Super Kings
1304114,1,9,1,AT Rayudu,R Ashwin,MM Ali,wides,0,1,1,0,0,NA,NA,NA,Chennai Super Kings
